,Name,Author,Release date,№ viewers,№ views
0,Born in the U.S.A.,Bruce Springsteen,"Jun. 4, 1984",20 viewers,1.7M views
1,vampire,Olivia Rodrigo,"Jun. 30, 2023",74 viewers,1.3M views
2,YOASOBI - アイドル (Idol) (Romanized),Genius Romanizations,"Apr. 12, 2023",43 viewers,1.1M views
3,Endless Fashion,Lil Uzi Vert,"Jun. 30, 2023",18 viewers,270.9K views
4,hi. (Toxic Gossip Train),Colleen Ballinger,"Jun. 28, 2023",50 viewers,102.2K views
5,Sprinter,Dave & Central Cee,"Jun. 1, 2023",44 viewers,580.7K views
6,Cupid (Twin Version),can not find author :(,"Feb. 24, 2023",27 viewers,2.5M views
7,Lose Yourself,can not find author :(,"Oct. 28, 2002",31 viewers,7.1M views
8,We Didn’t Start The Fire,Fall Out Boy,"Jun. 28, 2023",44 viewers,319.9K views
9,Without Me,Eminem,"May. 14, 2002",27 viewers,3.8M views
10,The Real Slim Shady,Eminem,"Apr. 18, 2000",24 viewers,3.7M views
11,FIFTY FIFTY - Cupid (English Translation),can not find author :(,"Feb. 24, 2023",11 viewers,599.5K views
12,Stan,Eminem,"May. 23, 2000",18 viewers,3.9M views
13,Superman,Eminem,"May. 26, 2002",10 viewers,2.1M views
14,Suicide Doors,Lil Uzi Vert,"Jun. 30, 2023",13 viewers,150.2K views
15,Flooded The Face,Lil Uzi Vert,"Jun. 30, 2023",8 viewers,135.5K views
16,fukumean,can not find author :(,"Jun. 16, 2023",13 viewers,166.4K views
17,Barbie World,Ice Spice & Nicki Minaj,"Jun. 23, 2023",17 viewers,225K views
18,Estate dimmerda 2,Luchè,"Jul. 4, 2023",4 viewers,10.9K views
19,イマセ (imase) - NIGHT DANCER (Romanized),can not find author :(,"Aug. 19, 2022",12 viewers,658.2K views
20,DOVE VOLANO LE PAPERE,Salmo,"Jul. 5, 2023",6 viewers,7K views
21,Breathless,Shankar Mahadevan,1998,7 viewers,943K views
22,Starboy,can not find author :(,"Sep. 21, 2016",11 viewers,7.7M views
23,A&W,can not find author :(,"Feb. 14, 2023",19 viewers,831.1K views
24,Mockingbird,can not find author :(,"Nov. 12, 2004",16 viewers,2.8M views
25,藤井風 (Fujii Kaze) - 死ぬのがいいわ (Shinunoga E-Wa) (Romanized),Genius Romanizations,"May. 20, 2020",5 viewers,2.6M views
26,‎x2,Lil Uzi Vert,"Jun. 30, 2023",6 viewers,97.2K views
27,Cruel Summer,can not find author :(,"Aug. 23, 2019",4 viewers,1.6M views
28,Rehab,Lil Uzi Vert,"Jun. 30, 2023",5 viewers,46.9K views
29,Drugs in tha club,O Side Mafia,"Jun. 27, 2023",3 viewers,90.1K views
30,All Too Well (10 Minute Version) (Taylor’s Version) [Live Acoustic],can not find author :(,"Nov. 15, 2021",11 viewers,3.2M views
31,Jung Kook - Still With You (English Translation),Genius English Translations,"Jun. 4, 2020",9 viewers,1.1M views
32,Dollhouse,The Weeknd & Lily-Rose Depp,"Jul. 3, 2023",8 viewers,17.6K views
33,All Too Well (10 Minute Version) (Taylor’s Version) [From the Vault],Taylor Swift,"Nov. 12, 2021",9 viewers,3.5M views
34,Halo,Beyoncé,"Feb. 20, 2009",9 viewers,2.2M views
35,Дай мне посмотреть (Let Me See),Heronwater & BUSHIDO ZHO,"Jun. 16, 2023",15 viewers,81.6K views
36,In This Moment,can not find author :(,"Sep. 21, 2013",1 viewer,107.9K views
37,Everybody Wants to Rule the World,can not find author :(,"Mar. 15, 1985",10 viewers,1.9M views
38,Do I Wanna Know?,can not find author :(,"Jun. 18, 2013",8 viewers,4.3M views
39,One Of The Girls,"The Weeknd, JENNIE & Lily-Rose Depp","Jun. 23, 2023",8 viewers,166.3K views
40,Better Than Revenge,Taylor Swift,"Oct. 25, 2010",11 viewers,273.5K views
41,Thang For You,Rylo Rodriguez,"Jun. 23, 2023",8 viewers,58.6K views
42,Set Fire to the Rain,Adele,"Jan. 24, 2011",10 viewers,1.2M views
43,Werewolf,Lil Uzi Vert,"Jun. 30, 2023",8 viewers,78.1K views
44,What’s Up?,can not find author :(,"Oct. 13, 1992",10 viewers,2.7M views
45,We Are Never Ever Getting Back Together,Taylor Swift,"Aug. 13, 2012",6 viewers,932.2K views
46,INVITATION,JUNNY (주니),"Jul. 6, 2023",10 viewers,37.7K views
47,Died and Came Back,Lil Uzi Vert,"Jun. 30, 2023",3 viewers,50.9K views
48,ВМЕСТЕ (VMESTE),Aarne & BUSHIDO ZHO,"Jun. 30, 2023",16 viewers,37.8K views
49,Mahal Pa Rin Kita,Rockstar,1993,3 viewers,478.5K views
50,’Till I Collapse,Eminem,"May. 26, 2002",11 viewers,2.7M views
51,Patience,Lil Uzi Vert,"Jun. 30, 2023",4 viewers,75.6K views
52,Popular,"The Weeknd, Playboi Carti & Madonna","Jun. 2, 2023",10 viewers,203.5K views
53,Fire Alarm,Lil Uzi Vert,"Jun. 30, 2023",5 viewers,54.3K views
54,YOASOBI - 夜に駆ける (Yoru Ni Kakeru/Racing Into The Night) (Romanized),Genius Romanizations,"Dec. 17, 2019",6 viewers,547.6K views
55,July 2023 Album Release Calendar,can not find author :(,Jul. 2023,14 viewers,20.6K views
56,We Didn’t Start the Fire,can not find author :(,"Oct. 17, 1989",5 viewers,1.8M views
57,I’m Still Standing,Elton John,"Jul. 3, 1983",5 viewers,1.3M views
